0,1,2
-1.0,-0.9285714,0.0
-1.0,-0.85714287,0.0
-1.0,-0.78571427,0.0
-1.0,-0.71428573,0.0
-1.0,-0.5,0.0
-1.0,-0.21428572,0.0
-1.0,0.071428575,0.0
-1.0,0.14285715,0.0
-1.0,0.35714287,0.0
-1.0,0.5,0.0
-1.0,0.78571427,0.0
-0.9285714,-0.5,0.0
-0.9285714,-0.14285715,0.0
-0.9285714,-0.071428575,0.0
-0.9285714,0.071428575,0.0
-0.9285714,0.21428572,0.0
-0.9285714,0.9285714,0.0
-0.85714287,-0.85714287,0.0
-0.85714287,-0.78571427,0.0
-0.85714287,-0.71428573,0.0
-0.85714287,-0.5,0.0
-0.85714287,-0.42857143,0.0
-0.85714287,-0.2857143,0.0
-0.85714287,-0.14285715,0.0
-0.85714287,-0.071428575,0.0
-0.85714287,0.0,0.0
-0.85714287,0.21428572,0.0
-0.85714287,0.2857143,0.0
-0.85714287,0.35714287,0.0
-0.85714287,0.42857143,0.0
-0.85714287,0.5,0.0
-0.85714287,0.5714286,0.0
-0.85714287,0.78571427,0.0
-0.85714287,0.85714287,0.0
-0.78571427,-0.85714287,0.0
-0.78571427,-0.71428573,0.0
-0.78571427,-0.35714287,0.0
-0.78571427,0.14285715,0.0
-0.78571427,0.42857143,0.41960785
-0.78571427,0.5714286,0.0
-0.78571427,0.78571427,0.0
-0.71428573,-0.71428573,0.0
-0.71428573,-0.42857143,0.0
-0.71428573,-0.071428575,0.0
-0.71428573,0.071428575,0.0
-0.71428573,0.21428572,0.69411767
-0.71428573,0.2857143,0.99607843
-0.71428573,0.35714287,0.99607843
-0.71428573,0.42857143,0.49803922
-0.71428573,0.64285713,0.0
-0.71428573,0.71428573,0.0
-0.71428573,0.85714287,0.0
-0.64285713,-1.0,0.0
-0.64285713,-0.9285714,0.0
-0.64285713,-0.78571427,0.0
-0.64285713,-0.64285713,0.0
-0.64285713,-0.5,0.0
-0.64285713,-0.071428575,0.0
-0.64285713,0.2857143,0.99607843
-0.64285713,0.35714287,0.90588236
-0.64285713,0.5,0.0
-0.64285713,0.71428573,0.0
-0.64285713,0.78571427,0.0
-0.5714286,-1.0,0.0
-0.5714286,-0.85714287,0.0
-0.5714286,-0.71428573,0.0
-0.5714286,-0.5714286,0.0
-0.5714286,-0.42857143,0.0
-0.5714286,-0.2857143,0.0
-0.5714286,-0.071428575,0.0
-0.5714286,0.0,0.0
-0.5714286,0.071428575,0.5294118
-0.5714286,0.5,0.0
-0.5714286,0.5714286,0.0
-0.5,-0.78571427,0.0
-0.5,-0.64285713,0.0
-0.5,-0.5,0.0
-0.5,-0.35714287,0.0
-0.5,-0.071428575,0.023529412
-0.5,0.071428575,0.99607843
-0.5,0.14285715,0.84313726
-0.5,0.35714287,0.03137255
-0.5,0.5714286,0.0
-0.5,0.78571427,0.0
-0.42857143,-0.78571427,0.0
-0.42857143,-0.71428573,0.0
-0.42857143,-0.42857143,0.0
-0.42857143,-0.2857143,0.0
-0.42857143,-0.14285715,0.0
-0.42857143,-0.071428575,0.30588236
-0.42857143,0.0,0.99607843
-0.42857143,0.071428575,0.9529412
-0.42857143,0.21428572,0.0
-0.42857143,0.42857143,0.0
-0.42857143,0.5,0.0
-0.42857143,0.5714286,0.0
-0.42857143,0.64285713,0.0
-0.42857143,0.78571427,0.0
-0.42857143,0.85714287,0.0
-0.35714287,-1.0,0.0
-0.35714287,-0.78571427,0.0
-0.35714287,-0.64285713,0.0
-0.35714287,-0.5,0.0
-0.35714287,-0.35714287,0.0
-0.35714287,-0.2857143,0.0
-0.35714287,-0.14285715,0.28235295
-0.35714287,-0.071428575,0.9529412
-0.35714287,0.14285715,0.0
-0.35714287,0.2857143,0.0
-0.35714287,0.42857143,0.0
-0.35714287,0.5,0.0
-0.35714287,0.5714286,0.0
-0.35714287,0.78571427,0.0
