0,1,2,3,4
-1.0,-0.75,0.7176471,0.7254902,0.69803923
-1.0,-0.5,0.6745098,0.64705884,0.61960787
-1.0,0.3125,0.7490196,0.5019608,0.47058824
-1.0,0.75,0.69803923,0.43529412,0.3882353
-0.9375,-0.625,0.70980394,0.68235296,0.6431373
-0.9375,-0.5,0.6784314,0.6509804,0.62352943
-0.9375,0.0,0.75686276,0.7176471,0.7137255
-0.9375,0.5625,0.6901961,0.47058824,0.40784314
-0.875,-1.0,0.7019608,0.7019608,0.69411767
-0.875,-0.6875,0.7254902,0.7058824,0.68235296
-0.875,-0.4375,0.6509804,0.6431373,0.6392157
-0.875,-0.125,0.8392157,0.8392157,0.8392157
-0.875,0.125,0.6784314,0.4509804,0.41568628
-0.875,0.375,0.7176471,0.4862745,0.45882353
-0.875,0.6875,0.7294118,0.47058824,0.4
-0.875,0.8125,0.6313726,0.39607844,0.34117648
-0.8125,-0.6875,0.7294118,0.70980394,0.6862745
-0.8125,-0.375,0.6431373,0.6117647,0.5882353
-0.8125,-0.1875,0.8352941,0.84313726,0.8352941
-0.8125,-0.0625,0.83137256,0.827451,0.83137256
-0.8125,0.0,0.7254902,0.69411767,0.6862745
-0.8125,0.125,0.6784314,0.4627451,0.41960785
-0.8125,0.25,0.7372549,0.49803922,0.44313726
-0.8125,0.9375,0.13725491,0.11764706,0.105882354
-0.75,-0.8125,0.6627451,0.654902,0.61960787
-0.75,-0.625,0.7176471,0.68235296,0.67058825
-0.75,0.0625,0.41960785,0.34509805,0.33333334
-0.75,0.5625,0.69411767,0.47058824,0.41568628
-0.75,0.6875,0.6627451,0.45490196,0.40784314
-0.6875,-0.375,0.2,0.20392157,0.2
-0.6875,-0.125,0.21960784,0.21176471,0.22352941
-0.6875,0.3125,0.7019608,0.49803922,0.47058824
-0.6875,0.4375,0.74509805,0.48235294,0.42745098
-0.6875,0.75,0.6627451,0.43529412,0.3882353
-0.6875,0.875,0.38039216,0.23921569,0.19215687
-0.6875,0.9375,0.12156863,0.10980392,0.09803922
-0.625,0.375,0.7019608,0.49411765,0.45882353
-0.5625,-0.3125,0.1254902,0.13725491,0.14901961
-0.5625,-0.0625,0.15294118,0.15686275,0.16470589
-0.5625,0.375,0.7607843,0.50980395,0.43529412
-0.5625,0.5,0.7411765,0.49411765,0.4392157
-0.5625,0.5625,0.69411767,0.47843137,0.44313726
-0.5625,0.625,0.6784314,0.46666667,0.42745098
-0.5625,0.6875,0.6862745,0.4509804,0.40392157
-0.5625,0.875,0.42352942,0.23921569,0.19215687
-0.5,-0.9375,0.6666667,0.65882355,0.6509804
-0.5,-0.625,0.10980392,0.12156863,0.12941177
-0.5,-0.125,0.16470589,0.16862746,0.18431373
-0.5,0.0625,0.16078432,0.16470589,0.18039216
-0.5,0.5,0.7882353,0.49019608,0.4117647
-0.5,0.5625,0.76862746,0.48235294,0.41568628
-0.5,0.625,0.7372549,0.48235294,0.42352942
-0.4375,-0.75,0.09411765,0.09411765,0.09411765
-0.4375,-0.5,0.101960786,0.101960786,0.105882354
-0.4375,-0.3125,0.13725491,0.14117648,0.14509805
-0.4375,0.0625,0.15294118,0.16078432,0.2
-0.4375,0.1875,0.18431373,0.19607843,0.23137255
-0.375,-0.6875,0.09411765,0.09411765,0.09411765
-0.375,-0.4375,0.09411765,0.09411765,0.09411765
-0.375,0.0,0.14901961,0.15294118,0.1764706
-0.375,0.3125,0.33333334,0.36078432,0.40784314
-0.375,0.75,0.72156864,0.45490196,0.37254903
-0.375,0.9375,0.15294118,0.13725491,0.13725491
-0.3125,-0.875,0.07450981,0.07450981,0.06666667
-0.3125,-0.75,0.08627451,0.08627451,0.08627451
-0.3125,-0.625,0.078431375,0.078431375,0.078431375
-0.3125,0.125,0.14901961,0.15686275,0.19215687
-0.3125,0.5625,0.74509805,0.48235294,0.41568628
-0.3125,0.625,0.7529412,0.47843137,0.41960785
-0.3125,0.8125,0.59607846,0.39607844,0.34509805
-0.25,-0.75,0.078431375,0.078431375,0.078431375
-0.25,-0.625,0.07450981,0.07450981,0.07450981
-0.25,-0.5625,0.07058824,0.07058824,0.07058824
-0.25,-0.5,0.07058824,0.07058824,0.07058824
-0.25,-0.125,0.2509804,0.21960784,0.21568628
-0.25,0.3125,0.18431373,0.18431373,0.19215687
-0.25,0.5,0.70980394,0.46666667,0.4117647
-0.1875,-0.8125,0.07058824,0.07058824,0.06666667
-0.1875,-0.75,0.07450981,0.07450981,0.07058824
-0.1875,-0.1875,0.14901961,0.14117648,0.14509805
-0.1875,0.0,0.1254902,0.12941177,0.1254902
-0.1875,0.125,0.105882354,0.10980392,0.12156863
-0.1875,0.1875,0.09411765,0.09803922,0.105882354
-0.1875,0.25,0.078431375,0.08235294,0.078431375
-0.1875,0.5,0.6862745,0.45490196,0.41568628
-0.1875,0.5625,0.69411767,0.45490196,0.41960785
-0.1875,0.6875,0.6901961,0.45490196,0.39607844
-0.1875,0.8125,0.62352943,0.3764706,0.3254902
-0.125,-0.875,0.07058824,0.06666667,0.05882353
-0.125,-0.8125,0.0627451,0.0627451,0.05490196
-0.125,-0.75,0.0627451,0.0627451,0.05490196
-0.125,-0.375,0.12941177,0.11372549,0.101960786
-0.125,-0.3125,0.101960786,0.09411765,0.09019608
-0.125,-0.1875,0.14117648,0.13333334,0.1254902
-0.125,0.125,0.09019608,0.07450981,0.07058824
-0.125,0.5625,0.7607843,0.4627451,0.3882353
-0.125,0.75,0.67058825,0.44705883,0.3882353
-0.0625,-0.6875,0.05882353,0.0627451,0.050980393
-0.0625,-0.3125,0.24705882,0.18431373,0.14901961
-0.0625,-0.0625,0.46666667,0.3529412,0.3137255
-0.0625,0.25,0.14117648,0.12941177,0.12156863
-0.0625,0.375,0.21568628,0.16078432,0.15686275
-0.0625,0.4375,0.5764706,0.3764706,0.3254902
-0.0625,0.5,0.7529412,0.46666667,0.3882353
-0.0625,0.6875,0.73333335,0.44705883,0.38039216
-0.0625,0.75,0.7294118,0.4392157,0.38431373
-0.0625,0.875,0.33333334,0.19607843,0.17254902
0.0,-1.0,0.7058824,0.7058824,0.7019608
0.0,-0.625,0.13725491,0.10980392,0.08627451
0.0,0.3125,0.65882355,0.5882353,0.5764706
0.0,0.875,0.30588236,0.1882353,0.16078432
0.0625,-0.875,0.63529414,0.59607846,0.5764706
0.0625,-0.625,0.39215687,0.28235295,0.24705882
0.0625,-0.5,0.6627451,0.5058824,0.42745098
0.0625,-0.4375,0.6745098,0.5058824,0.43529412
0.0625,0.0,0.7607843,0.64705884,0.62352943
0.0625,0.0625,0.73333335,0.627451,0.6156863
0.0625,0.1875,0.6431373,0.5058824,0.48235294
0.0625,0.3125,0.8784314,0.79607844,0.7764706
0.0625,0.375,0.8039216,0.5254902,0.44705883
0.125,-0.5625,0.62352943,0.47843137,0.41960785
0.125,-0.25,0.74509805,0.61960787,0.6039216
0.125,-0.1875,0.74509805,0.6117647,0.60784316
0.125,0.375,0.78431374,0.53333336,0.4862745
0.125,0.75,0.70980394,0.44313726,0.36078432
0.1875,-0.9375,0.67058825,0.67058825,0.67058825
0.1875,-0.3125,0.79607844,0.6117647,0.6
0.1875,-0.25,0.8039216,0.654902,0.654902
0.1875,-0.1875,0.7764706,0.6392157,0.6313726
0.1875,0.3125,0.84705883,0.7372549,0.70980394
0.1875,0.4375,0.70980394,0.4862745,0.42352942
0.25,-0.125,0.6666667,0.49803922,0.4627451
0.25,0.125,0.73333335,0.5921569,0.56078434
0.25,0.5625,0.7372549,0.4745098,0.4117647
0.25,0.6875,0.7372549,0.44313726,0.37254903
0.3125,-0.625,0.5019608,0.37254903,0.3137255
0.3125,-0.4375,0.64705884,0.5019608,0.43137255
0.3125,-0.375,0.6431373,0.48235294,0.4117647
0.3125,-0.1875,0.6666667,0.5176471,0.47058824
0.3125,-0.0625,0.6666667,0.5019608,0.47058824
0.3125,0.1875,0.7254902,0.5764706,0.5254902
0.3125,0.25,0.8,0.67058825,0.627451
0.3125,0.3125,0.7647059,0.5568628,0.5058824
0.3125,0.8125,0.61960787,0.34509805,0.29803923
0.3125,0.9375,0.13333334,0.12941177,0.12941177
0.375,-0.75,0.54509807,0.54509807,0.54509807
0.375,-0.625,0.4627451,0.34901962,0.2784314
0.375,-0.375,0.6431373,0.48235294,0.4117647
0.375,-0.1875,0.5686275,0.4117647,0.35686275
0.4375,-0.75,0.7137255,0.7137255,0.70980394
0.4375,-0.6875,0.49803922,0.48235294,0.4745098
0.4375,-0.5625,0.5529412,0.39215687,0.30588236
0.4375,-0.1875,0.64705884,0.49803922,0.43137255
0.4375,0.0,0.65882355,0.43137255,0.4392157
0.4375,0.1875,0.78039217,0.6431373,0.5921569
0.4375,0.25,0.7921569,0.5882353,0.53333336
0.4375,0.3125,0.7764706,0.5137255,0.45490196
0.4375,0.6875,0.69411767,0.4627451,0.41960785
0.4375,0.75,0.65882355,0.43137255,0.39607844
0.5,-1.0,0.6901961,0.6901961,0.6901961
0.5,-0.875,0.654902,0.654902,0.654902
0.5,-0.75,0.74509805,0.7411765,0.7372549
0.5,-0.125,0.6901961,0.54901963,0.49411765
0.5,0.25,0.76862746,0.5137255,0.46666667
