x_target,y_target
-1.8313687,0.8970243
1.3833885,0.3543242
1.7963724,0.29852048
-1.3808098,-0.5461274
-1.6909978,0.5410089
-0.002810955,0.9890768
-1.9088247,0.886003
1.3266463,0.023703534
-0.69467497,0.50120497
-0.4368453,0.43881714
1.8727448,0.3275586
-1.6077387,0.45350146
1.0039864,0.7366205
-1.5030658,0.054314554
1.0473254,0.8535023
-0.37718678,0.39252168
1.2315955,0.1389708
0.45011783,0.9647225
1.150795,0.6559615
-0.21779466,0.721962
-1.7963758,0.8154935
0.08706093,0.77744055
-0.39602304,0.4217935
1.4155536,0.63765734
-1.8384807,0.90783834
-0.5778086,0.59215623
-0.8796017,0.3007747
-1.2614985,-0.34050784
0.8996599,0.49678168
1.8488069,0.28433642
0.9439535,0.56896317
0.7702451,0.6222639
-1.4974644,0.00958091
-1.6377342,0.50715244
-1.6365888,0.5165848
-1.3278024,-0.539785
-1.8758297,0.9484156
0.76530075,0.64552534
-1.2407081,-0.22917965
1.2107456,0.27780816
-1.5940402,0.4438025
-0.735317,0.4472449
